TAHUN,KECAMATAN,KOMODITAS,LUAS_PANEN,PRODUKSI,PRODUKTIVITAS
"2025,HAURGEULIS,PADI,""9,516.00"",""63,296.27"",66.52"
2025,HAURGEULIS,BAWANG MERAH,0.00,0.00,0.00
2025,HAURGEULIS,CABAI BESAR,0.80,146.88,183.60
2025,HAURGEULIS,CABAI RAWIT,1.78,351.50,197.47
2025,HAURGEULIS,KACANG PANJANG,1.33,756.30,568.65
"2025,HAURGEULIS,KETIMUN,3.05,""1,861.35"",610.28"
2025,HAURGEULIS,SEMANGKA,0.00,0.00,0.00
2025,HAURGEULIS,TOMAT,0.00,0.00,0.00
"2025,GANTAR,PADI,""22,578.00"",""146,409.98"",64.85"
2025,GANTAR,BAWANG MERAH,0.00,0.00,0.00
2025,GANTAR,CABAI BESAR,215.00,344.00,1.60
2025,GANTAR,CABAI RAWIT,0.00,0.00,0.00
2025,GANTAR,KACANG PANJANG,5.00,568.00,113.60
2025,GANTAR,KETIMUN,7.00,801.00,114.43
2025,GANTAR,SEMANGKA,19.00,640.00,33.68
2025,GANTAR,TOMAT,4.50,363.50,80.78
"2025,KROYA,PADI,""13,099.00"",""88,615.04"",67.65"
2025,KROYA,BAWANG MERAH,2.00,165.00,82.50
2025,KROYA,CABAI BESAR,119.00,0.00,0.00
2025,KROYA,CABAI RAWIT,0.00,0.00,0.00
"2025,KROYA,KACANG PANJANG,65.70,""1,599.00"",24.34"
2025,KROYA,KETIMUN,6.00,500.00,83.33
2025,KROYA,SEMANGKA,0.00,0.00,0.00
2025,KROYA,TOMAT,0.00,1.00,0.00
"2025,GABUSWETAN,PADI,""12,536.00"",""81,260.11"",65.62"
"2025,GABUSWETAN,BAWANG MERAH,18.00,""1,296.00"",72.00"
2025,GABUSWETAN,CABAI BESAR,2.10,17.00,8.10
2025,GABUSWETAN,CABAI RAWIT,2.80,124.00,44.29
2025,GABUSWETAN,KACANG PANJANG,4.60,69.00,15.00
2025,GABUSWETAN,KETIMUN,5.00,214.00,42.80
2025,GABUSWETAN,SEMANGKA,0.00,0.00,0.00
2025,GABUSWETAN,TOMAT,5.50,211.00,38.36
"2025,CIKEDUNG,PADI,""12,862.00"",""92,070.91"",71.58"
2025,CIKEDUNG,BAWANG MERAH,0.00,0.00,0.00
2025,CIKEDUNG,CABAI BESAR,1.00,0.00,0.00
2025,CIKEDUNG,CABAI RAWIT,2.00,160.00,80.00
2025,CIKEDUNG,KACANG PANJANG,7.00,925.00,132.14
"2025,CIKEDUNG,KETIMUN,7.00,""1,250.00"",178.57"
2025,CIKEDUNG,SEMANGKA,0.00,0.00,0.00
2025,CIKEDUNG,TOMAT,0.00,0.00,0.00
"2025,TERISI,PADI,""17,835.00"",""110,983.81"",62.23"
2025,TERISI,BAWANG MERAH,0.00,0.00,0.00
2025,TERISI,CABAI BESAR,178.00,161.00,0.90
2025,TERISI,CABAI RAWIT,0.00,0.00,0.00
2025,TERISI,KACANG PANJANG,10.00,64.00,6.40
2025,TERISI,KETIMUN,5.00,160.00,32.00
2025,TERISI,SEMANGKA,14.00,60.00,4.29
2025,TERISI,TOMAT,2.00,24.00,12.00
"2025,LELEA,PADI,""9,996.00"",""72,972.58"",73.00"
2025,LELEA,BAWANG MERAH,0.28,64.00,228.57
2025,LELEA,CABAI BESAR,0.34,0.00,0.00
2025,LELEA,CABAI RAWIT,0.00,0.00,0.00
2025,LELEA,KACANG PANJANG,0.00,0.00,0.00
2025,LELEA,KETIMUN,0.00,0.00,0.00
2025,LELEA,SEMANGKA,0.00,0.00,0.00
2025,LELEA,TOMAT,0.00,0.00,0.00
"2025,BANGODUA,PADI,""6,438.00"",""45,856.29"",71.23"
2025,BANGODUA,BAWANG MERAH,12.00,183.00,15.25
2025,BANGODUA,CABAI BESAR,9.30,940.00,101.08
2025,BANGODUA,CABAI RAWIT,0.00,0.00,0.00
"2025,BANGODUA,KACANG PANJANG,12.00,""1,778.00"",148.17"
2025,BANGODUA,KETIMUN,9.00,940.00,104.44
2025,BANGODUA,SEMANGKA,0.00,0.00,0.00
2025,BANGODUA,TOMAT,2.00,90.00,45.00
"2025,TUKDANA,PADI,""7,786.00"",""53,257.01"",68.40"
2025,TUKDANA,BAWANG MERAH,0.00,0.00,0.00
2025,TUKDANA,CABAI BESAR,1.37,420.00,306.57
2025,TUKDANA,CABAI RAWIT,0.75,54.00,72.00
"2025,TUKDANA,KACANG PANJANG,17.00,""4,537.00"",266.88"
"2025,TUKDANA,KETIMUN,33.00,""5,896.00"",178.67"
2025,TUKDANA,SEMANGKA,0.00,0.00,0.00
2025,TUKDANA,TOMAT,0.00,0.00,0.00
"2025,WIDASARI,PADI,""5,712.00"",""39,379.67"",68.94"
2025,WIDASARI,BAWANG MERAH,4.00,133.00,33.25
2025,WIDASARI,CABAI BESAR,10.00,282.00,28.20
2025,WIDASARI,CABAI RAWIT,1.50,22.00,14.67
2025,WIDASARI,KACANG PANJANG,2.50,74.00,29.60
2025,WIDASARI,KETIMUN,0.10,1.00,10.00
2025,WIDASARI,SEMANGKA,0.00,0.00,0.00
2025,WIDASARI,TOMAT,6.00,,0.00
"2025,KERTASEMAYA,PADI,""5,760.00"",""40,334.60"",70.03"
2025,KERTASEMAYA,BAWANG MERAH,0.00,0.00,0.00
"2025,KERTASEMAYA,CABAI BESAR,6.00,""1,190.00"",198.33"
2025,KERTASEMAYA,CABAI RAWIT,13.00,204.00,15.69
2025,KERTASEMAYA,KACANG PANJANG,3.50,149.00,42.57
2025,KERTASEMAYA,KETIMUN,2.00,280.00,140.00
2025,KERTASEMAYA,SEMANGKA,0.00,0.00,0.00
2025,KERTASEMAYA,TOMAT,4.00,887.00,221.75
"2025,SUKAGUMIWANG,PADI,""4,488.00"",""32,497.46"",72.41"
2025,SUKAGUMIWANG,BAWANG MERAH,0.00,0.00,0.00
2025,SUKAGUMIWANG,CABAI BESAR,7.28,825.00,113.32
2025,SUKAGUMIWANG,CABAI RAWIT,9.28,859.00,92.56
"2025,SUKAGUMIWANG,KACANG PANJANG,13.92,""1,943.00"",139.58"
"2025,SUKAGUMIWANG,KETIMUN,39.00,""5,350.00"",137.18"
2025,SUKAGUMIWANG,SEMANGKA,0.00,0.00,0.00
2025,SUKAGUMIWANG,TOMAT,0.00,0.00,0.00
"2025,KRANGKENG,PADI,""9,403.00"",""65,485.22"",69.64"
"2025,KRANGKENG,BAWANG MERAH,66.00,""4,920.00"",74.55"
2025,KRANGKENG,CABAI BESAR,0.00,20.00,0.00
"2025,KRANGKENG,CABAI RAWIT,7.33,""1,967.75"",268.45"
"2025,KRANGKENG,KACANG PANJANG,14.78,""3,965.00"",268.27"
"2025,KRANGKENG,KETIMUN,11.34,""4,121.00"",363.40"
2025,KRANGKENG,SEMANGKA,0.00,0.00,0.00
2025,KRANGKENG,TOMAT,0.71,50.50,71.13
"2025,KARANGAMPEL,PADI,""4,213.00"",""29,124.22"",69.13"
2025,KARANGAMPEL,BAWANG MERAH,5.60,387.50,69.20
2025,KARANGAMPEL,CABAI BESAR,3.25,86.00,26.46
2025,KARANGAMPEL,CABAI RAWIT,2.61,287.00,109.96
2025,KARANGAMPEL,KACANG PANJANG,0.56,64.00,114.29
2025,KARANGAMPEL,KETIMUN,0.28,48.00,171.43
2025,KARANGAMPEL,SEMANGKA,0.14,5.00,35.71
2025,KARANGAMPEL,TOMAT,0.28,20.00,71.43
"2025,KEDOKANBUNDER,PADI,""4,750.00"",""33,848.46"",71.26"
2025,KEDOKANBUNDER,BAWANG MERAH,0.00,0.00,0.00
2025,KEDOKANBUNDER,CABAI BESAR,5.00,573.00,114.60
"2025,KEDOKANBUNDER,CABAI RAWIT,24.00,""1,357.00"",56.54"
2025,KEDOKANBUNDER,KACANG PANJANG,13.00,747.00,57.46
2025,KEDOKANBUNDER,KETIMUN,3.00,60.00,20.00
2025,KEDOKANBUNDER,SEMANGKA,0.00,0.00,0.00
2025,KEDOKANBUNDER,TOMAT,5.00,25.00,5.00
"2025,JUNTINYUAT,PADI,""7,712.00"",""54,931.54"",71.23"
2025,JUNTINYUAT,BAWANG MERAH,8.00,867.00,108.38
2025,JUNTINYUAT,CABAI BESAR,0.00,15.00,0.00
2025,JUNTINYUAT,CABAI RAWIT,1.20,90.00,75.00
2025,JUNTINYUAT,KACANG PANJANG,7.00,213.00,30.43
2025,JUNTINYUAT,KETIMUN,5.40,278.00,51.48
2025,JUNTINYUAT,SEMANGKA,0.00,0.00,0.00
2025,JUNTINYUAT,TOMAT,6.50,417.00,64.15
"2025,SLIYEG,PADI,""8,518.00"",""54,586.11"",64.09"
2025,SLIYEG,BAWANG MERAH,1.00,45.00,45.00
2025,SLIYEG,CABAI BESAR,0.00,0.00,0.00
"2025,SLIYEG,CABAI RAWIT,20.00,""1,515.00"",75.75"
"2025,SLIYEG,KACANG PANJANG,25.00,""3,970.00"",158.80"
"2025,SLIYEG,KETIMUN,25.00,""4,490.00"",179.60"
2025,SLIYEG,SEMANGKA,0.00,0.00,0.00
2025,SLIYEG,TOMAT,0.00,0.00,0.00
"2025,JATIBARANG,PADI,""5,976.00"",""37,924.16"",63.46"
2025,JATIBARANG,BAWANG MERAH,0.00,0.00,0.00
"2025,JATIBARANG,CABAI BESAR,0.00,""3,955.00"",0.00"
2025,JATIBARANG,CABAI RAWIT,0.14,2.00,14.29
